external_image_url,origin,table,column,record_id,file,line,current_value,suggested_local_path,is_absolute_url,is_video
https://digitalageexpo.com/files/buy_ticket_banner1.jpg,code,,,,src/app/buy_tickets/page.tsx,25,https://digitalageexpo.com/files/buy_ticket_banner1.jpg,/images/external/buy_ticket_banner1.jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-CONTACT_IMAGE.jpg,code,,,,src/app/contact/page.tsx,23,https://digitalageexpo.com/files/listing_pages/817601-CONTACT_IMAGE.jpg,/images/external/listing_pages/817601-CONTACT_IMAGE.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/event_experience/page.tsx,103,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://tradeshowslocal.com/files/listing_pages/817601-cta_img.jpg,code,,,,src/app/event_experience/page.tsx,264,https://tradeshowslocal.com/files/listing_pages/817601-cta_img.jpg,/images/external/listing_pages/817601-cta_img.jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-book_seat_img.jpg,code,,,,src/app/event_experience/page.tsx,406,https://digitalageexpo.com/files/listing_pages/817601-book_seat_img.jpg,/images/external/listing_pages/817601-book_seat_img.jpg,true,false
https://apps.digitalageexpo.com/images/event_lobby.png,code,,,,src/app/event_features/page.tsx,28,https://apps.digitalageexpo.com/images/event_lobby.png,/images/external/apps/event_lobby.png,true,false
https://apps.digitalageexpo.com/images/speaker_hall.png,code,,,,src/app/event_features/page.tsx,45,https://apps.digitalageexpo.com/images/speaker_hall.png,/images/external/apps/speaker_hall.png,true,false
https://apps.digitalageexpo.com/images/exhibitor_stand.png,code,,,,src/app/event_features/page.tsx,61,https://apps.digitalageexpo.com/images/exhibitor_stand.png,/images/external/apps/exhibitor_stand.png,true,false
https://apps.digitalageexpo.com/images/photobooth.png,code,,,,src/app/event_features/page.tsx,78,https://apps.digitalageexpo.com/images/photobooth.png,/images/external/apps/photobooth.png,true,false
https://apps.digitalageexpo.com/images/networking_lounge.png,code,,,,src/app/event_features/page.tsx,92,https://apps.digitalageexpo.com/images/networking_lounge.png,/images/external/apps/networking_lounge.png,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/event_features/page.tsx,112,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/exhibitor-registration/page.tsx,94,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://findusonweb.com/files/listing_pages/817601-27972070586_73eb8ef975_o (1).jpg,code,,,,src/app/exhibitor-registration/page.tsx,130,https://findusonweb.com/files/listing_pages/817601-27972070586_73eb8ef975_o (1).jpg,/images/external/listing_pages/817601-27972070586_73eb8ef975_o%20(1).jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-backgr.jpg,code,,,,src/app/exhibitor-registration/page.tsx,205,https://digitalageexpo.com/files/listing_pages/817601-backgr.jpg,/images/external/listing_pages/817601-backgr.jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-exibitor.png,code,,,,src/app/frequently-asked-questions/page.tsx,26,https://digitalageexpo.com/files/listing_pages/817601-exibitor.png,/images/external/listing_pages/817601-exibitor.png,true,false
https://findusonweb.com/files/listing_pages/817601-05_INTRO_OK-1.mp4,code,,,,src/app/glimpse-of-the-show/page.tsx,69,https://findusonweb.com/files/listing_pages/817601-05_INTRO_OK-1.mp4,/images/external/listing_pages/817601-05_INTRO_OK-1.mp4,true,true
